Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2481.766875,2789.776373,3335.026633,3521.675508,4011.662311,5094.548284,5376.105965,5788.859948,5467.54118,4981.158471,5097.114937,4606.878472,4479.153372,4824.203098,6185.506335,7561.830548,9418.062718,10461.36542,10783.17156,10182.86047,12767.78121,14628.57246,15406.49294,15833.2752,14666.34353,13569.9478,13785.68833,15045.52768,15795.70846,14631.94688
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,317.884673,333.1421454,366.4606923,377.3898395,473.4922787,609.6566792,709.4137551,781.7441643,828.5804793,873.2870617,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,5614.352135,6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004,10143.8382
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,906.4114731,848.2820541,868.7255442,829.4824167,602.3319653,769.2557235,1220.121516,1176.851911,1237.131364,1154.479067,986.7773209,974.779976,1020.95053,1173.063935,1267.764901,1267.087222,1303.565029,1451.232587,1683.337661,1638.804766,1654.177832,1701.704734,1649.301739,1903.054321,2124.019559,1941.566336,1980.878142,2076.148,2275.49595,2238.811005
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1077.333497,1005.304395,995.3144963,1295.916368,692.8587285,822.3632555,817.1841421,773.9271096,789.2742585,786.8459508,700.1632136,706.9842108,780.2705836,976.5193473,1119.98093,1129.3579,1177.968662,1311.003014,1476.009215,1445.86032,1383.813759,1497.926667,1433.724035,1559.139125,1631.714084,1399.675331,1426.065517,1479.862349,1594.05999,1538.687947
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,259.8055972,259.0122345,214.6284064,270.4906033,140.2096824,130.3762561,130.8164965,135.8889305,135.4774002,99.75725083,392.6263338,148.4471235,168.9448053,167.9815754,187.856781,211.5726332,247.5419489,277.6120796,317.8892146,290.1556869,324.827711,376.3749811,412.7762682,444.864361,472.266227,482.0645483,456.0279312,451.0890984,546.2125939,575.8827908
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,1173.264436,1110.972105,1163.534936,1034.753192,662.8773345,771.6139458,902.0457459,807.8918989,663.7287033,780.5897051,1029.960689,859.4400043,910.8697462,1023.088542,1314.41136,1810.588815,2116.869044,2219.91239,2848.653425,2283.949984,2962.762254,3415.062563,3753.861207,3719.651217,3622.530293,2347.818499,1970.250249,2088.500117,2512.383979,2288.808138
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,1467.547436,1477.958576,1721.29168,1919.610386,2314.844417,2571.782586,2652.287331,2860.121815,2594.419825,2233.668135,2547.143528,2465.285852,2421.587055,2305.083058,2811.197871,3448.980365,3778.52666,4760.98121,5527.449953,5244.353266,6394.198705,7392.452361,8101.829092,8264.126896,8164.714495,6228.426299,5938.463856,6450.319585,6782.03792,6438.060183
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,996.5279836,958.9212113,1009.710102,977.4743116,674.1373419,823.6765949,801.2612033,721.6272792,717.3181901,726.4888885,654.1804099,691.0419403,761.9479175,959.2289215,1090.427235,1103.195339,1155.085731,1289.79481,1454.651044,1409.106544,1384.063271,1526.832506,1483.95138,1595.989896,1608.687864,1322.936695,1357.266263,1414.586566,1531.337972,1510.797358
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,841.8054143,858.0870372,935.1061412,1251.866347,1012.263391,1184.176735,1192.329508,1139.217697,1185.58374,1317.573685,1176.707258,1208.457932,1311.21495,1693.978552,1900.889,1972.784236,2220.097291,2997.703864,3503.511499,3292.498412,3192.3921,3537.139837,3262.647058,3427.177172,3405.933447,2891.884482,2978.19942,3132.621798,3442.742003,3434.562745
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,1808.495959,2221.474653,2578.02567,2814.043888,3005.539686,3240.711145,3194.112988,3373.410585,3580.933885,3653.754208,3773.033793,3941.598643,4021.425361,4123.506487,4376.080428,4643.45857,5188.361792,6055.086779,6841.91146,6737.860245,8147.243985,9137.455823,9971.650902,10633.26725,10737.67888,11529.95453,11899.81326,12118.13341,12383.14997,12669.34107
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,2995.969535,2956.090908,2885.095524,3097.285057,3226.768475,3524.139763,3809.576723,4418.653778,4681.019166,4925.011734,5246.595612,5368.47197,5594.319152,5938.533748,6453.143698,7248.407343,8192.984146,9053.246476,10222.72811,8592.549497,9271.773216,9948.838931,10417.9382,10542.78615,10711.77911,10473.83445,9781.008816,10075.83072,10353.11645,10429.33204
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,2695.614865,2269.645578,2048.068839,2063.222123,2613.005039,2784.902605,2281.97555,2306.38394,2332.508217,2562.274105,2752.203783,2844.244437,3007.193074,3205.688398,3403.296163,3791.873006,4336.87333,4814.854876,4992.824494,5094.437562,5275.532601,6106.006792,6467.337914,6814.243844,7117.52691,7683.757891,8055.889907,8543.360968,8831.907222,9139.415856
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,19446.45657,19886.67837,19762.73962,19552.66055,19260.26985,18881.83062,18788.80728,18956.09797,19024.17715
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,87187.6509,89963.92244,89707.45309,81401.25308,76875.96182,75438.33001,75468.85344,75688.08215,76613.40655,77298.62806,78861.11927,81258.03776,85234.84272,89871.91314
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,9641.575195,9696.099609,11310.07227,10526.1416,11617.69238,15261.41016,15139.22656,14234.24414,15092.82617,15287.91895,14388.34766,14821.44727,16093.21484,20252.23828,23792.62109,24959.25977,26729.32422,31244.92578,35397.36328,32109.24219,31105.39844,32486.42969,28993.34961,27799.11914,27245.36523,23487.125,24715.73047,26697.17188,29418.93555,29417.13867
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,3941.503094,2896.609131,3372.86543,3956.17835,4630.551217,5824.121291,6532.837055,6034.488437,6489.703619,6337.41912,6029.038193,6637.041657,8060.868703,9818.568493,11749.85266,13430.6699,15261.79759,18466.54793,22804.57768,19861.69743,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23424.48046,23664.84786
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,22303.96133,23357.75773,26438.23039,25522.62957,27076.60675,31658.34938,30485.86655,26964.04947,27289.05936,26734.94254,23694.76048,23628.32721,25197.2656,30310.3576,34106.65812,34520.23965,36353.88033,41640.08087,45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46793.68676
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,783.6958542,735.7303869,767.1062359,762.4751841,788.6244733,790.5161067,766.315697,752.7494467,740.0389531,745.2067822,742.8656972,747.7791229,749.0816325,771.3742316,813.8979436,852.8901883,907.8179438,980.0310324,1131.635726,1164.251683,1227.820853,1322.726251,1418.460858,2102.197948,2239.114538,2409.311902,2545.738799,2655.73322,2755.838293,2876.043664
